time_pst,qc_pco2_water,qc_pco2_air,p_co2_in_water_ppm,p_co2_in_air_ppm
2024-02-24T03:00:00Z,0,0,633.71185,439.21857
2024-02-24T06:00:00Z,0,0,674.089,445.2243
2024-02-24T09:00:00Z,0,0,706.22736,447.0061
2024-02-24T12:00:00Z,0,0,707.359,432.04565
2024-02-24T15:00:00Z,0,0,646.58295,447.42484
2024-02-24T18:00:00Z,0,0,643.6239,436.4319
2024-02-24T21:00:00Z,0,0,682.6674,428.5655
2024-02-25T00:00:00Z,0,0,596.05884,431.01038
2024-02-25T03:00:00Z,0,0,626.3832,428.47952
2024-02-25T06:00:00Z,0,0,671.11395,432.64948
2024-02-25T09:00:00Z,0,0,701.88104,442.87723
2024-02-25T12:00:00Z,0,0,720.9143,453.89487
2024-02-25T15:00:00Z,0,0,664.78864,446.28152
2024-02-25T18:00:00Z,0,0,663.8948,431.07843
2024-02-25T21:00:00Z,0,0,699.3407,433.9519
2024-02-27T00:00:00Z,0,0,673.9221,427.93842
2024-02-27T03:00:00Z,0,0,666.75085,429.26566
2024-02-27T06:00:00Z,0,0,654.1153,428.554
2024-02-27T09:00:00Z,0,0,672.81366,433.62445
2024-02-27T12:00:00Z,0,0,684.39014,435.3631
2024-02-27T15:00:00Z,0,0,674.9356,436.1095
2024-02-27T18:00:00Z,0,0,615.3672,428.91568
2024-02-27T21:00:00Z,0,0,639.91943,430.35754
2024-02-29T00:00:00Z,0,0,676.6874,428.029
2024-02-29T03:00:00Z,0,0,631.43176,428.7616
2024-02-29T06:00:00Z,0,0,633.59485,429.22467
2024-02-29T09:00:00Z,0,0,659.5098,435.29587
2024-02-29T12:00:00Z,0,0,703.5874,430.36102
2024-02-29T15:00:00Z,0,0,642.3208,431.1693
2024-02-29T18:00:00Z,0,0,601.19617,428.3429
2024-02-29T21:00:00Z,0,0,618.444,427.06207
2024-03-01T00:00:00Z,0,0,655.5074,428.9397
2024-03-01T03:00:00Z,0,0,597.3209,429.99103
2024-03-01T06:00:00Z,0,0,665.70483,431.03394
2024-03-01T09:00:00Z,0,0,637.9903,431.19308
2024-03-01T12:00:00Z,0,0,688.9803,432.0481
2024-03-01T15:00:00Z,0,0,598.7008,431.03256
